City,Region,Founded,Population,URL,Longitude,Latitude
Stoke-on-Trent,West Midlands,1925,249008,https://en.wikipedia.org//wiki/Stoke-on-Trent,53.0,-2.183
Sunderland,North East,1992,275506,https://en.wikipedia.org//wiki/City_of_Sunderland,54.91,-1.385
Swansea,Wales,1969,239023,https://en.wikipedia.org//wiki/Swansea,51.617,-3.95
Truro,South West,1877,18766,https://en.wikipedia.org//wiki/Truro,50.26,-5.051
Wakefield,Yorkshire and the Humber,1888,325837,https://en.wikipedia.org//wiki/City_of_Wakefield,53.683,-1.499
Wells,South West,nan,10536,"https://en.wikipedia.org//wiki/Wells,_Somerset",51.20944,-2.645
Westminster,London,1540,219396,https://en.wikipedia.org//wiki/City_of_Westminster,51.51222,-0.16333
Winchester,South East,nan,116595,https://en.wikipedia.org//wiki/City_of_Winchester,51.062,-1.317
Wolverhampton,West Midlands,2001,249470,https://en.wikipedia.org//wiki/Wolverhampton,52.583,-2.133
Worcester,West Midlands,nan,98768,"https://en.wikipedia.org//wiki/Worcester,_England",52.192,-2.22
"Wrexham, Wrecsam",Wales,2022,134844,https://en.wikipedia.org//wiki/Wrexham_County_Borough,53.05,-3.0
York,Yorkshire and the Humber,nan,198051,https://en.wikipedia.org//wiki/City_of_York,53.95833,-1.08028
